Move, type, Category, Power, Accuracy, Power Points 
Fell Stinger,BUG,PHYSICAL,50,100,25
Phantom Force,GHOST,PHYSICAL,90,100,10
Trick-or-Treat,GHOST,STATUS,none,100,20
Noble Roar,NORMAL,STATUS,none,100,30
Ion Deluge,ELECTRIC,STATUS,none,none,25
Parabolic Charge,ELECTRIC,SPECIAL,65,100,20
Forest's Curse,GRASS,STATUS,none,100,20
Petal Blizzard,GRASS,PHYSICAL,90,100,15
Freeze-Dry,ICE,SPECIAL,70,100,20
Disarming Voice,FAIRY,SPECIAL,40,none,15
Parting Shot,DARK,STATUS,none,100,20
Topsy-Turvy,DARK,STATUS,none,none,20
Draining Kiss,FAIRY,SPECIAL,50,100,10
Crafty Shield,FAIRY,STATUS,none,none,10
Flower Shield,FAIRY,STATUS,none,none,10
Grassy Terrain,GRASS,STATUS,none,none,10
Misty Terrain,FAIRY,STATUS,none,none,10
Electrify,ELECTRIC,STATUS,none,none,20
Play Rough,FAIRY,PHYSICAL,90,90,10
Fairy Wind,FAIRY,SPECIAL,40,100,30
Moonblast,FAIRY,SPECIAL,95,100,15
Boomburst,NORMAL,SPECIAL,140,100,10
Fairy Lock,FAIRY,STATUS,none,none,10
King's Shield,STEEL,STATUS,none,none,10
Play Nice,NORMAL,STATUS,none,none,20
Confide,NORMAL,STATUS,none,none,20
Diamond Storm,ROCK,PHYSICAL,100,95,5
Steam Eruption,WATER,SPECIAL,110,95,5
Hyperspace Hole,PSYCHIC,SPECIAL,80,none,5
Water Shuriken,WATER,SPECIAL,15,100,20
Mystical Fire,FIRE,SPECIAL,75,100,10
Spiky Shield,GRASS,STATUS,none,none,10
Aromatic Mist,FAIRY,STATUS,none,none,20
Eerie Impulse,ELECTRIC,STATUS,none,100,15
Venom Drench,POISON,STATUS,none,100,20
Powder,BUG,STATUS,none,100,20
Geomancy,FAIRY,STATUS,none,none,10
Magnetic Flux,ELECTRIC,STATUS,none,none,20
Happy Hour,NORMAL,STATUS,none,none,30
Electric Terrain,ELECTRIC,STATUS,none,none,10
Dazzling Gleam,FAIRY,SPECIAL,80,100,10
Celebrate,NORMAL,STATUS,none,none,40
Hold Hands,NORMAL,STATUS,none,none,40
Baby-Doll Eyes,FAIRY,STATUS,none,100,30
Nuzzle,ELECTRIC,PHYSICAL,20,100,20
Hold Back,NORMAL,PHYSICAL,40,100,40
Infestation,BUG,SPECIAL,20,100,20
Power-Up Punch,FIGHTING,PHYSICAL,40,100,20
Oblivion Wing,FLYING,SPECIAL,80,100,10
Thousand Arrows,GROUND,PHYSICAL,90,100,10
Thousand Waves,GROUND,PHYSICAL,90,100,10
Land's Wrath,GROUND,PHYSICAL,90,100,10
Light of Ruin,FAIRY,SPECIAL,140,90,5
Origin Pulse,WATER,SPECIAL,110,85,10
Precipice Blades,GROUND,PHYSICAL,120,85,10
Dragon Ascent,FLYING,PHYSICAL,120,100,5
Hyperspace Fury,DARK,PHYSICAL,100,none,5
Shore Up,GROUND,STATUS,none,none,5
First Impression,BUG,PHYSICAL,90,100,10
Baneful Bunker,POISON,STATUS,none,none,10
Spirit Shackle,GHOST,PHYSICAL,80,100,10
Darkest Lariat,DARK,PHYSICAL,85,100,10
Sparkling Aria,WATER,SPECIAL,90,100,10
Ice Hammer,ICE,PHYSICAL,100,90,10
Floral Healing,FAIRY,STATUS,none,none,10
High Horsepower,GROUND,PHYSICAL,95,95,10
Strength Sap,GRASS,STATUS,none,100,10
Solar Blade,GRASS,PHYSICAL,125,100,10
Leafage,GRASS,PHYSICAL,40,100,40
Spotlight,NORMAL,STATUS,none,none,15
Toxic Thread,POISON,STATUS,none,100,20
Laser Focus,NORMAL,STATUS,none,none,30
Gear Up,STEEL,STATUS,none,none,20
Throat Chop,DARK,PHYSICAL,80,100,15
Pollen Puff,BUG,SPECIAL,90,100,15
Anchor Shot,STEEL,PHYSICAL,80,100,20
Psychic Terrain,PSYCHIC,STATUS,none,none,10
Lunge,BUG,PHYSICAL,80,100,15
Fire Lash,FIRE,PHYSICAL,80,100,15
Power Trip,DARK,PHYSICAL,20,100,10
Burn Up,FIRE,SPECIAL,130,100,5
Speed Swap,PSYCHIC,STATUS,none,none,10
Smart Strike,STEEL,PHYSICAL,70,none,10
Purify,POISON,STATUS,none,none,20
Revelation Dance,NORMAL,SPECIAL,90,100,15
Core Enforcer,DRAGON,SPECIAL,100,100,10
Trop Kick,GRASS,PHYSICAL,70,100,15
Instruct,PSYCHIC,STATUS,none,none,15
Beak Blast,FLYING,PHYSICAL,100,100,15
Clanging Scales,DRAGON,SPECIAL,110,100,5
Dragon Hammer,DRAGON,PHYSICAL,90,100,15
Brutal Swing,DARK,PHYSICAL,60,100,20
Aurora Veil,ICE,STATUS,none,none,20
Shell Trap,FIRE,SPECIAL,150,100,5
Fleur Cannon,FAIRY,SPECIAL,130,90,5
Psychic Fangs,PSYCHIC,PHYSICAL,85,100,10
Stomping Tantrum,GROUND,PHYSICAL,75,100,10
Shadow Bone,GHOST,PHYSICAL,85,100,10
Accelerock,ROCK,PHYSICAL,40,100,20
Liquidation,WATER,PHYSICAL,85,100,10
Prismatic Laser,PSYCHIC,SPECIAL,160,100,10
Spectral Thief,GHOST,PHYSICAL,90,100,10
Sunsteel Strike,STEEL,PHYSICAL,100,100,5
Moongeist Beam,GHOST,SPECIAL,100,100,5
Tearful Look,NORMAL,STATUS,none,none,20
Zing Zap,ELECTRIC,PHYSICAL,80,100,10
Nature's Madness,FAIRY,SPECIAL,none,90,10
Multi-Attack,NORMAL,PHYSICAL,120,100,10
Mind Blown,FIRE,SPECIAL,150,100,5
Plasma Fists,ELECTRIC,PHYSICAL,100,100,15
Photon Geyser,PSYCHIC,SPECIAL,100,100,5
Max Guard,NORMAL,STATUS,none,none,10
Dynamax Cannon,DRAGON,SPECIAL,100,100,5
Snipe Shot,WATER,SPECIAL,80,100,15
Jaw Lock,DARK,PHYSICAL,80,100,10
Stuff Cheeks,NORMAL,STATUS,none,none,10
No Retreat,FIGHTING,STATUS,none,none,5
Tar Shot,ROCK,STATUS,none,100,15
Magic Powder,PSYCHIC,STATUS,none,100,20
Dragon Darts,DRAGON,PHYSICAL,50,100,10
Teatime,NORMAL,STATUS,none,none,10
Octolock,FIGHTING,STATUS,none,100,15
Bolt Beak,ELECTRIC,PHYSICAL,85,100,10
Fishious Rend,WATER,PHYSICAL,85,100,10
Court Change,NORMAL,STATUS,none,100,10
Clangorous Soul,DRAGON,STATUS,none,100,5
Body Press,FIGHTING,PHYSICAL,80,100,10
Decorate,FAIRY,STATUS,none,none,15
Drum Beating,GRASS,PHYSICAL,80,100,10
Snap Trap,GRASS,PHYSICAL,35,100,15
Pyro Ball,FIRE,PHYSICAL,120,90,5
Behemoth Blade,STEEL,PHYSICAL,100,100,5
Behemoth Bash,STEEL,PHYSICAL,100,100,5
Aura Wheel,ELECTRIC,PHYSICAL,110,100,10
Breaking Swipe,DRAGON,PHYSICAL,60,100,15
Branch Poke,GRASS,PHYSICAL,40,100,40
Overdrive,ELECTRIC,SPECIAL,80,100,10
Apple Acid,GRASS,SPECIAL,80,100,10
Grav Apple,GRASS,PHYSICAL,80,100,10
Spirit Break,FAIRY,PHYSICAL,75,100,15
Strange Steam,FAIRY,SPECIAL,90,95,10
Life Dew,WATER,STATUS,none,none,10
Obstruct,DARK,STATUS,none,100,10
False Surrender,DARK,PHYSICAL,80,none,10
Meteor Assault,FIGHTING,PHYSICAL,150,100,5
Eternabeam,DRAGON,SPECIAL,160,90,5
Steel Beam,STEEL,SPECIAL,140,95,5
Expanding Force,PSYCHIC,SPECIAL,80,100,10
Steel Roller,STEEL,PHYSICAL,130,100,5
Scale Shot,DRAGON,PHYSICAL,25,90,20
Meteor Beam,ROCK,SPECIAL,120,90,10
Shell Side Arm,POISON,SPECIAL,90,100,10
Misty Explosion,FAIRY,SPECIAL,100,100,5
Grassy Glide,GRASS,PHYSICAL,60,100,20
Rising Voltage,ELECTRIC,SPECIAL,70,100,20
Terrain Pulse,NORMAL,SPECIAL,50,100,10
Skitter Smack,BUG,PHYSICAL,70,90,10
Burning Jealousy,FIRE,SPECIAL,70,100,5
Lash Out,DARK,PHYSICAL,75,100,5
Poltergeist,GHOST,PHYSICAL,110,90,5
Corrosive Gas,POISON,STATUS,none,100,40
Coaching,FIGHTING,STATUS,none,none,10
Flip Turn,WATER,PHYSICAL,60,100,20
Triple Axel,ICE,PHYSICAL,20,90,10
Dual Wingbeat,FLYING,PHYSICAL,40,90,10
Scorching Sands,GROUND,SPECIAL,70,100,10
Jungle Healing,GRASS,STATUS,none,none,10
Wicked Blow,DARK,PHYSICAL,75,100,5
Surging Strikes,WATER,PHYSICAL,25,100,5
Thunder Cage,ELECTRIC,SPECIAL,80,90,15
Dragon Energy,DRAGON,SPECIAL,150,100,5
Freezing Glare,PSYCHIC,SPECIAL,90,100,10
Fiery Wrath,DARK,SPECIAL,90,100,10
Thunderous Kick,FIGHTING,PHYSICAL,90,100,10
Glacial Lance,ICE,PHYSICAL,120,100,5
Astral Barrage,GHOST,SPECIAL,120,100,5
Eerie Spell,PSYCHIC,SPECIAL,80,100,5
Dire Claw,POISON,PHYSICAL,80,100,15
Psyshield Bash,PSYCHIC,PHYSICAL,70,90,10
Power Shift,NORMAL,STATUS,none,none,10
Stone Axe,ROCK,PHYSICAL,65,90,15
Springtide Storm,FAIRY,SPECIAL,100,80,5
Mystical Power,PSYCHIC,SPECIAL,70,90,10
Raging Fury,FIRE,PHYSICAL,120,100,10
Wave Crash,WATER,PHYSICAL,120,100,10
Chloroblast,GRASS,SPECIAL,150,95,5
Mountain Gale,ICE,PHYSICAL,100,85,10
Victory Dance,FIGHTING,STATUS,none,none,10
Headlong Rush,GROUND,PHYSICAL,120,100,5
Barb Barrage,POISON,PHYSICAL,60,100,10
Esper Wing,PSYCHIC,SPECIAL,80,100,10
Bitter Malice,GHOST,SPECIAL,75,100,10
Shelter,STEEL,STATUS,none,none,10
Triple Arrows,FIGHTING,PHYSICAL,90,100,10
Infernal Parade,GHOST,SPECIAL,60,100,15
Ceaseless Edge,DARK,PHYSICAL,65,90,15
Bleakwind Storm,FLYING,SPECIAL,100,80,10
Wildbolt Storm,ELECTRIC,SPECIAL,100,80,10
Sandsear Storm,GROUND,SPECIAL,100,80,10
Lunar Blessing,PSYCHIC,STATUS,none,none,5
Take Heart,PSYCHIC,STATUS,none,none,15
Tera Blast,NORMAL,SPECIAL,80,100,10
Silk Trap,BUG,STATUS,none,none,10
Axe Kick,FIGHTING,PHYSICAL,120,90,10
Last Respects,GHOST,PHYSICAL,50,100,10
Lumina Crash,PSYCHIC,SPECIAL,80,100,10
Order Up,DRAGON,PHYSICAL,80,100,10
Jet Punch,WATER,PHYSICAL,60,100,15
Spicy Extract,GRASS,STATUS,none,none,15
Spin Out,STEEL,PHYSICAL,100,100,5
Population Bomb,NORMAL,PHYSICAL,20,90,10
Ice Spinner,ICE,PHYSICAL,80,100,15
Glaive Rush,DRAGON,PHYSICAL,120,100,5
Revival Blessing,NORMAL,STATUS,none,none,1
Salt Cure,ROCK,PHYSICAL,40,100,15
Triple Dive,WATER,PHYSICAL,30,95,10
Mortal Spin,POISON,PHYSICAL,30,100,15
Doodle,NORMAL,STATUS,none,100,10
Fillet Away,NORMAL,STATUS,none,none,10
Kowtow Cleave,DARK,PHYSICAL,85,none,10
Flower Trick,GRASS,PHYSICAL,70,none,10
Torch Song,FIRE,SPECIAL,80,100,10
Aqua Step,WATER,PHYSICAL,80,100,10
Raging Bull,NORMAL,PHYSICAL,90,100,10
Make It Rain,STEEL,SPECIAL,120,100,5
Psyblade,PSYCHIC,PHYSICAL,80,100,15
Hydro Steam,WATER,SPECIAL,80,100,15
Ruination,DARK,SPECIAL,none,90,10
Collision Course,FIGHTING,PHYSICAL,100,100,5
Electro Drift,ELECTRIC,SPECIAL,100,100,5
Shed Tail,NORMAL,STATUS,none,none,10
Chilly Reception,ICE,STATUS,none,none,10
Tidy Up,NORMAL,STATUS,none,none,10
Snowscape,ICE,STATUS,none,none,10
Pounce,BUG,PHYSICAL,50,100,20
Trailblaze,GRASS,PHYSICAL,50,100,20
Chilling Water,WATER,SPECIAL,50,100,20
Hyper Drill,NORMAL,PHYSICAL,100,100,5
Twin Beam,PSYCHIC,SPECIAL,40,100,10
Rage Fist,GHOST,PHYSICAL,50,100,10
Armor Cannon,FIRE,SPECIAL,120,100,5
Bitter Blade,FIRE,PHYSICAL,90,100,10
Double Shock,ELECTRIC,PHYSICAL,120,100,5
Gigaton Hammer,STEEL,PHYSICAL,160,100,5
Comeuppance,DARK,PHYSICAL,none,100,10
Aqua Cutter,WATER,PHYSICAL,70,100,20
