Pokemon, Move, Source 
Moltres-Galar,Gust,level 1
Moltres-Galar,Leer,level 1
Moltres-Galar,Payback,level 5
Moltres-Galar,Safeguard,level 10
Moltres-Galar,Wing Attack,level 15
Moltres-Galar,Agility,level 20
Moltres-Galar,Ancient Power,level 25
Moltres-Galar,Sucker Punch,level 30
Moltres-Galar,Air Slash,level 35
Moltres-Galar,After You,level 40
Moltres-Galar,Fiery Wrath,level 45
Moltres-Galar,Nasty Plot,level 50
Moltres-Galar,Hurricane,level 55
Moltres-Galar,Endure,level 60
Moltres-Galar,Memento,level 65
Moltres-Galar,Sky Attack,level 70
Moltres-Galar,Acrobatics,TM
Moltres-Galar,Aerial Ace,TM
Moltres-Galar,Agility,TM
Moltres-Galar,Air Slash,TM
Moltres-Galar,Brave Bird,TM
Moltres-Galar,Dark Pulse,TM
Moltres-Galar,Endure,TM
Moltres-Galar,Facade,TM
Moltres-Galar,Fly,TM
Moltres-Galar,Foul Play,TM
Moltres-Galar,Giga Impact,TM
Moltres-Galar,Helping Hand,TM
Moltres-Galar,Hex,TM
Moltres-Galar,Hurricane,TM
Moltres-Galar,Hyper Beam,TM
Moltres-Galar,Hyper Voice,TM
Moltres-Galar,Imprison,TM
Moltres-Galar,Nasty Plot,TM
Moltres-Galar,Protect,TM
Moltres-Galar,Rain Dance,TM
Moltres-Galar,Rest,TM
Moltres-Galar,Sandstorm,TM
Moltres-Galar,Scary Face,TM
Moltres-Galar,Shadow Ball,TM
Moltres-Galar,Sleep Talk,TM
Moltres-Galar,Snarl,TM
Moltres-Galar,Substitute,TM
Moltres-Galar,Sunny Day,TM
Moltres-Galar,Swift,TM
Moltres-Galar,Tailwind,TM
Moltres-Galar,Take Down,TM
Moltres-Galar,Taunt,TM
Moltres-Galar,Tera Blast,TM
Moltres-Galar,Thief,TM
Moltres-Galar,U-turn,TM
Moltres-Galar,Fiery Wrath,Event
Moltres-Galar,Hurricane,Event
Moltres-Galar,Nasty Plot,Event
Moltres-Galar,Sucker Punch,Event
Moltres-Galar,Assurance,Past generation only
Moltres-Galar,Dual Wingbeat,Past generation only
Moltres-Galar,Lash Out,Past generation only
Moltres-Galar,Round,Past generation only
Moltres-Galar,Snore,Past generation only
Moltres-Galar,Steel Wing,Past generation only
Dratini,Leer,level 1
Dratini,Wrap,level 1
Dratini,Twister,level 5
Dratini,Thunder Wave,level 10
Dratini,Dragon Tail,level 15
Dratini,Agility,level 20
Dratini,Slam,level 25
Dratini,Aqua Tail,level 31
Dratini,Dragon Rush,level 35
Dratini,Safeguard,level 40
Dratini,Rain Dance,level 45
Dratini,Dragon Dance,level 50
Dratini,Outrage,level 55
Dratini,Hyper Beam,level 60
Dratini,Agility,TM
Dratini,Blizzard,TM
Dratini,Body Slam,TM
Dratini,Chilling Water,TM
Dratini,Draco Meteor,TM
Dratini,Dragon Dance,TM
Dratini,Dragon Pulse,TM
Dratini,Dragon Tail,TM
Dratini,Endure,TM
Dratini,Facade,TM
Dratini,Fire Blast,TM
Dratini,Fire Spin,TM
Dratini,Flamethrower,TM
Dratini,Giga Impact,TM
Dratini,Helping Hand,TM
Dratini,Hydro Pump,TM
Dratini,Hyper Beam,TM
Dratini,Ice Beam,TM
Dratini,Icy Wind,TM
Dratini,Iron Head,TM
Dratini,Light Screen,TM
Dratini,Outrage,TM
Dratini,Protect,TM
Dratini,Rain Dance,TM
Dratini,Rest,TM
Dratini,Sleep Talk,TM
Dratini,Substitute,TM
Dratini,Sunny Day,TM
Dratini,Surf,TM
Dratini,Swift,TM
Dratini,Take Down,TM
Dratini,Tera Blast,TM
Dratini,Thunder,TM
Dratini,Thunderbolt,TM
Dratini,Thunder Wave,TM
Dratini,Waterfall,TM
Dratini,Water Pulse,TM
Dratini,Aqua Jet,egg move
Dratini,Dragon Breath,egg move
Dratini,Extreme Speed,egg move
Dratini,Mist,egg move
Dratini,Supersonic,egg move
Dratini,Water Pulse,egg move
Dratini,Attract,Past generation only
Dratini,Bide,Past generation only
Dratini,Bind,Past generation only
Dratini,Breaking Swipe,Past generation only
Dratini,Brutal Swing,Past generation only
Dratini,Bubble Beam,Past generation only
Dratini,Captivate,Past generation only
Dratini,Confide,Past generation only
Dratini,Curse,Past generation only
Dratini,Detect,Past generation only
Dratini,Double-Edge,Past generation only
Dratini,Double Team,Past generation only
Dratini,Dragon Rage,Past generation only
Dratini,Frustration,Past generation only
Dratini,Hail,Past generation only
Dratini,Haze,Past generation only
Dratini,Headbutt,Past generation only
Dratini,Hidden Power,Past generation only
Dratini,Incinerate,Past generation only
Dratini,Iron Tail,Past generation only
Dratini,Mimic,Past generation only
Dratini,Natural Gift,Past generation only
Dratini,Rage,Past generation only
Dratini,Reflect,Past generation only
Dratini,Return,Past generation only
Dratini,Round,Past generation only
Dratini,Scale Shot,Past generation only
Dratini,Secret Power,Past generation only
Dratini,Shock Wave,Past generation only
Dratini,Skull Bash,Past generation only
Dratini,Snore,Past generation only
Dratini,Swagger,Past generation only
Dratini,Toxic,Past generation only
Dratini,Water Gun,Past generation only
Dratini,Whirlpool,Past generation only
Dratini,Zap Cannon,Past generation only
Dragonair,Leer,level 1
Dragonair,Thunder Wave,level 1
Dragonair,Twister,level 1
Dragonair,Wrap,level 1
Dragonair,Dragon Tail,level 15
Dragonair,Agility,level 20
Dragonair,Slam,level 25
Dragonair,Aqua Tail,level 33
Dragonair,Dragon Rush,level 39
Dragonair,Safeguard,level 46
Dragonair,Rain Dance,level 53
Dragonair,Dragon Dance,level 60
Dragonair,Outrage,level 67
Dragonair,Hyper Beam,level 74
Dragonair,Agility,TM
Dragonair,Blizzard,TM
Dragonair,Body Slam,TM
Dragonair,Chilling Water,TM
Dragonair,Draco Meteor,TM
Dragonair,Dragon Dance,TM
Dragonair,Dragon Pulse,TM
Dragonair,Dragon Tail,TM
Dragonair,Endure,TM
Dragonair,Facade,TM
Dragonair,Fire Blast,TM
Dragonair,Fire Spin,TM
Dragonair,Flamethrower,TM
Dragonair,Giga Impact,TM
Dragonair,Helping Hand,TM
Dragonair,Hydro Pump,TM
Dragonair,Hyper Beam,TM
Dragonair,Ice Beam,TM
Dragonair,Icy Wind,TM
Dragonair,Iron Head,TM
Dragonair,Light Screen,TM
Dragonair,Outrage,TM
Dragonair,Protect,TM
Dragonair,Rain Dance,TM
Dragonair,Rest,TM
Dragonair,Sleep Talk,TM
Dragonair,Substitute,TM
Dragonair,Sunny Day,TM
Dragonair,Surf,TM
Dragonair,Swift,TM
Dragonair,Take Down,TM
Dragonair,Tera Blast,TM
Dragonair,Thunder,TM
Dragonair,Thunderbolt,TM
Dragonair,Thunder Wave,TM
Dragonair,Waterfall,TM
Dragonair,Water Pulse,TM
Dragonair,Aqua Jet,egg move
Dragonair,Dragon Breath,egg move
Dragonair,Extreme Speed,egg move
Dragonair,Mist,egg move
Dragonair,Supersonic,egg move
Dragonair,Water Pulse,egg move
Dragonair,Attract,Past generation only
Dragonair,Bide,Past generation only
Dragonair,Bind,Past generation only
Dragonair,Breaking Swipe,Past generation only
Dragonair,Brutal Swing,Past generation only
Dragonair,Bubble Beam,Past generation only
Dragonair,Captivate,Past generation only
Dragonair,Confide,Past generation only
Dragonair,Curse,Past generation only
Dragonair,Detect,Past generation only
Dragonair,Double-Edge,Past generation only
Dragonair,Double Team,Past generation only
Dragonair,Dragon Rage,Past generation only
Dragonair,Frustration,Past generation only
Dragonair,Hail,Past generation only
Dragonair,Headbutt,Past generation only
Dragonair,Hidden Power,Past generation only
Dragonair,Horn Drill,Past generation only
Dragonair,Incinerate,Past generation only
Dragonair,Iron Tail,Past generation only
Dragonair,Mimic,Past generation only
Dragonair,Natural Gift,Past generation only
Dragonair,Rage,Past generation only
Dragonair,Reflect,Past generation only
Dragonair,Return,Past generation only
Dragonair,Round,Past generation only
Dragonair,Scale Shot,Past generation only
Dragonair,Secret Power,Past generation only
Dragonair,Shock Wave,Past generation only
Dragonair,Skull Bash,Past generation only
Dragonair,Snore,Past generation only
Dragonair,Swagger,Past generation only
Dragonair,Toxic,Past generation only
Dragonair,Water Gun,Past generation only
Dragonair,Whirlpool,Past generation only
Dragonair,Zap Cannon,Past generation only
Dragonite,Hurricane,level 1
Dragonite,Extreme Speed,level 1
Dragonite,Fire Punch,level 1
Dragonite,Leer,level 1
Dragonite,Roost,level 1
Dragonite,Thunder Punch,level 1
Dragonite,Thunder Wave,level 1
Dragonite,Twister,level 1
Dragonite,Wing Attack,level 1
Dragonite,Wrap,level 1
Dragonite,Dragon Tail,level 15
Dragonite,Agility,level 20
Dragonite,Slam,level 25
Dragonite,Aqua Tail,level 33
Dragonite,Dragon Rush,level 39
Dragonite,Outrage,level 41
Dragonite,Safeguard,level 46
Dragonite,Rain Dance,level 53
Dragonite,Dragon Dance,level 62
Dragonite,Hyper Beam,level 80
Dragonite,Aerial Ace,TM
Dragonite,Agility,TM
Dragonite,Air Cutter,TM
Dragonite,Air Slash,TM
Dragonite,Blizzard,TM
Dragonite,Body Press,TM
Dragonite,Body Slam,TM
Dragonite,Brick Break,TM
Dragonite,Bulldoze,TM
Dragonite,Chilling Water,TM
Dragonite,Draco Meteor,TM
Dragonite,Dragon Claw,TM
Dragonite,Dragon Dance,TM
Dragonite,Dragon Pulse,TM
Dragonite,Dragon Tail,TM
Dragonite,Earthquake,TM
Dragonite,Encore,TM
Dragonite,Endure,TM
Dragonite,Facade,TM
Dragonite,Fire Blast,TM
Dragonite,Fire Punch,TM
Dragonite,Fire Spin,TM
Dragonite,Flamethrower,TM
Dragonite,Fling,TM
Dragonite,Fly,TM
Dragonite,Focus Blast,TM
Dragonite,Giga Impact,TM
Dragonite,Heat Wave,TM
Dragonite,Helping Hand,TM
Dragonite,Hurricane,TM
Dragonite,Hydro Pump,TM
Dragonite,Hyper Beam,TM
Dragonite,Ice Beam,TM
Dragonite,Ice Punch,TM
Dragonite,Ice Spinner,TM
Dragonite,Icy Wind,TM
Dragonite,Iron Head,TM
Dragonite,Light Screen,TM
Dragonite,Low Kick,TM
Dragonite,Metronome,TM
Dragonite,Outrage,TM
Dragonite,Protect,TM
Dragonite,Rain Dance,TM
Dragonite,Rest,TM
Dragonite,Rock Slide,TM
Dragonite,Rock Tomb,TM
Dragonite,Sandstorm,TM
Dragonite,Scary Face,TM
Dragonite,Sleep Talk,TM
Dragonite,Snowscape,TM
Dragonite,Stomping Tantrum,TM
Dragonite,Stone Edge,TM
Dragonite,Substitute,TM
Dragonite,Sunny Day,TM
Dragonite,Surf,TM
Dragonite,Swift,TM
Dragonite,Tailwind,TM
Dragonite,Take Down,TM
Dragonite,Tera Blast,TM
Dragonite,Thunder,TM
Dragonite,Thunderbolt,TM
Dragonite,Thunder Punch,TM
Dragonite,Thunder Wave,TM
Dragonite,Waterfall,TM
Dragonite,Water Pulse,TM
Dragonite,Aqua Jet,egg move
Dragonite,Dragon Breath,egg move
Dragonite,Extreme Speed,egg move
Dragonite,Mist,egg move
Dragonite,Supersonic,egg move
Dragonite,Water Pulse,egg move
Dragonite,Agility,Event
Dragonite,Barrier,Event
Dragonite,Draco Meteor,Event
Dragonite,Dragon Claw,Event
Dragonite,Dragon Dance,Event
Dragonite,Dragon Rush,Event
Dragonite,Earthquake,Event
Dragonite,Extreme Speed,Event
Dragonite,Fire Blast,Event
Dragonite,Fire Punch,Event
Dragonite,Heal Bell,Event
Dragonite,Hurricane,Event
Dragonite,Hyper Beam,Event
Dragonite,Outrage,Event
Dragonite,Safeguard,Event
Dragonite,Slam,Event
Dragonite,Thunderbolt,Event
Dragonite,Thunder Punch,Event
Dragonite,Wing Attack,Event
Dragonite,Attract,Past generation only
Dragonite,Bide,Past generation only
Dragonite,Bind,Past generation only
Dragonite,Breaking Swipe,Past generation only
Dragonite,Brutal Swing,Past generation only
Dragonite,Bubble Beam,Past generation only
Dragonite,Captivate,Past generation only
Dragonite,Confide,Past generation only
Dragonite,Curse,Past generation only
Dragonite,Cut,Past generation only
Dragonite,Defog,Past generation only
Dragonite,Detect,Past generation only
Dragonite,Dive,Past generation only
Dragonite,Double-Edge,Past generation only
Dragonite,Double Team,Past generation only
Dragonite,Dragon Rage,Past generation only
Dragonite,Dual Wingbeat,Past generation only
Dragonite,Dynamic Punch,Past generation only
Dragonite,Focus Punch,Past generation only
Dragonite,Frustration,Past generation only
Dragonite,Fury Cutter,Past generation only
Dragonite,Hail,Past generation only
Dragonite,Headbutt,Past generation only
Dragonite,Hidden Power,Past generation only
Dragonite,Hone Claws,Past generation only
Dragonite,Horn Drill,Past generation only
Dragonite,Incinerate,Past generation only
Dragonite,Iron Tail,Past generation only
Dragonite,Mega Kick,Past generation only
Dragonite,Mega Punch,Past generation only
Dragonite,Mimic,Past generation only
Dragonite,Mud-Slap,Past generation only
Dragonite,Natural Gift,Past generation only
Dragonite,Ominous Wind,Past generation only
Dragonite,Power-Up Punch,Past generation only
Dragonite,Rage,Past generation only
Dragonite,Razor Wind,Past generation only
Dragonite,Reflect,Past generation only
Dragonite,Return,Past generation only
Dragonite,Roar,Past generation only
Dragonite,Rock Smash,Past generation only
Dragonite,Round,Past generation only
Dragonite,Scale Shot,Past generation only
Dragonite,Secret Power,Past generation only
Dragonite,Shock Wave,Past generation only
Dragonite,Skull Bash,Past generation only
Dragonite,Sky Drop,Past generation only
Dragonite,Snore,Past generation only
Dragonite,Steel Wing,Past generation only
Dragonite,Strength,Past generation only
Dragonite,Superpower,Past generation only
Dragonite,Swagger,Past generation only
Dragonite,Toxic,Past generation only
Dragonite,Water Gun,Past generation only
Dragonite,Whirlpool,Past generation only
Dragonite,Zap Cannon,Past generation only
Mewtwo,Confusion,level 1
Mewtwo,Disable,level 1
Mewtwo,Life Dew,level 1
Mewtwo,Swift,level 1
Mewtwo,Ancient Power,level 8
Mewtwo,Psycho Cut,level 16
Mewtwo,Safeguard,level 24
Mewtwo,Amnesia,level 32
Mewtwo,Aura Sphere,level 40
Mewtwo,Psychic,level 48
Mewtwo,Guard Swap,level 56
Mewtwo,Power Swap,level 56
Mewtwo,Mist,level 64
Mewtwo,Psystrike,level 72
Mewtwo,Recover,level 80
Mewtwo,Future Sight,level 88
Mewtwo,Agility,TM
Mewtwo,Amnesia,TM
Mewtwo,Aura Sphere,TM
Mewtwo,Avalanche,TM
Mewtwo,Blizzard,TM
Mewtwo,Body Slam,TM
Mewtwo,Brick Break,TM
Mewtwo,Bulk Up,TM
Mewtwo,Bulldoze,TM
Mewtwo,Calm Mind,TM
Mewtwo,Chilling Water,TM
Mewtwo,Confuse Ray,TM
Mewtwo,Dark Pulse,TM
Mewtwo,Drain Punch,TM
Mewtwo,Earth Power,TM
Mewtwo,Earthquake,TM
Mewtwo,Electro Ball,TM
Mewtwo,Endure,TM
Mewtwo,Energy Ball,TM
Mewtwo,Facade,TM
Mewtwo,Fire Blast,TM
Mewtwo,Fire Punch,TM
Mewtwo,Flamethrower,TM
Mewtwo,Fling,TM
Mewtwo,Focus Blast,TM
Mewtwo,Foul Play,TM
Mewtwo,Giga Impact,TM
Mewtwo,Grass Knot,TM
Mewtwo,Helping Hand,TM
Mewtwo,Hex,TM
Mewtwo,Hurricane,TM
Mewtwo,Hyper Beam,TM
Mewtwo,Ice Beam,TM
Mewtwo,Ice Punch,TM
Mewtwo,Icy Wind,TM
Mewtwo,Imprison,TM
Mewtwo,Light Screen,TM
Mewtwo,Low Kick,TM
Mewtwo,Low Sweep,TM
Mewtwo,Metronome,TM
Mewtwo,Nasty Plot,TM
Mewtwo,Night Shade,TM
Mewtwo,Poison Jab,TM
Mewtwo,Power Gem,TM
Mewtwo,Protect,TM
Mewtwo,Psybeam,TM
Mewtwo,Psychic,TM
Mewtwo,Psychic Terrain,TM
Mewtwo,Psyshock,TM
Mewtwo,Rain Dance,TM
Mewtwo,Reflect,TM
Mewtwo,Rest,TM
Mewtwo,Reversal,TM
Mewtwo,Rock Slide,TM
Mewtwo,Rock Tomb,TM
Mewtwo,Sandstorm,TM
Mewtwo,Scary Face,TM
Mewtwo,Shadow Ball,TM
Mewtwo,Skill Swap,TM
Mewtwo,Sleep Talk,TM
Mewtwo,Solar Beam,TM
Mewtwo,Stomping Tantrum,TM
Mewtwo,Stone Edge,TM
Mewtwo,Stored Power,TM
Mewtwo,Substitute,TM
Mewtwo,Sunny Day,TM
Mewtwo,Swift,TM
Mewtwo,Take Down,TM
Mewtwo,Taunt,TM
Mewtwo,Tera Blast,TM
Mewtwo,Thunder,TM
Mewtwo,Thunderbolt,TM
Mewtwo,Thunder Punch,TM
Mewtwo,Thunder Wave,TM
Mewtwo,Trailblaze,TM
Mewtwo,Trick,TM
Mewtwo,Trick Room,TM
Mewtwo,Will-O-Wisp,TM
Mewtwo,Zen Headbutt,TM
Mewtwo,Amnesia,Event
Mewtwo,Aura Sphere,Event
Mewtwo,Barrier,Event
Mewtwo,Blizzard,Event
Mewtwo,Disable,Event
Mewtwo,Electro Ball,Event
Mewtwo,Guard Swap,Event
Mewtwo,Heal Pulse,Event
Mewtwo,Hurricane,Event
Mewtwo,Ice Beam,Event
Mewtwo,Power Swap,Event
Mewtwo,Psychic,Event
Mewtwo,Psycho Cut,Event
Mewtwo,Psystrike,Event
Mewtwo,Recover,Event
Mewtwo,Safeguard,Event
Mewtwo,Shadow Ball,Event
Mewtwo,Swift,Event
Mewtwo,Aerial Ace,Past generation only
Mewtwo,Ally Switch,Past generation only
Mewtwo,Aqua Tail,Past generation only
Mewtwo,Bide,Past generation only
Mewtwo,Brutal Swing,Past generation only
Mewtwo,Bubble Beam,Past generation only
Mewtwo,Charge Beam,Past generation only
Mewtwo,Confide,Past generation only
Mewtwo,Counter,Past generation only
Mewtwo,Curse,Past generation only
Mewtwo,Detect,Past generation only
Mewtwo,Dive,Past generation only
Mewtwo,Double-Edge,Past generation only
Mewtwo,Double Team,Past generation only
Mewtwo,Dream Eater,Past generation only
Mewtwo,Dynamic Punch,Past generation only
Mewtwo,Embargo,Past generation only
Mewtwo,Expanding Force,Past generation only
Mewtwo,Flash,Past generation only
Mewtwo,Focus Punch,Past generation only
Mewtwo,Frustration,Past generation only
Mewtwo,Gravity,Past generation only
Mewtwo,Hail,Past generation only
Mewtwo,Headbutt,Past generation only
Mewtwo,Hidden Power,Past generation only
Mewtwo,Incinerate,Past generation only
Mewtwo,Iron Tail,Past generation only
Mewtwo,Laser Focus,Past generation only
Mewtwo,Magic Coat,Past generation only
Mewtwo,Magic Room,Past generation only
Mewtwo,Me First,Past generation only
Mewtwo,Mega Kick,Past generation only
Mewtwo,Mega Punch,Past generation only
Mewtwo,Mimic,Past generation only
Mewtwo,Miracle Eye,Past generation only
Mewtwo,Mud-Slap,Past generation only
Mewtwo,Natural Gift,Past generation only
Mewtwo,Nightmare,Past generation only
Mewtwo,Pay Day,Past generation only
Mewtwo,Power-Up Punch,Past generation only
Mewtwo,Psych Up,Past generation only
Mewtwo,Psywave,Past generation only
Mewtwo,Rage,Past generation only
Mewtwo,Recycle,Past generation only
Mewtwo,Return,Past generation only
Mewtwo,Rock Climb,Past generation only
Mewtwo,Rock Smash,Past generation only
Mewtwo,Role Play,Past generation only
Mewtwo,Round,Past generation only
Mewtwo,Secret Power,Past generation only
Mewtwo,Seismic Toss,Past generation only
Mewtwo,Self-Destruct,Past generation only
Mewtwo,Shock Wave,Past generation only
Mewtwo,Signal Beam,Past generation only
Mewtwo,Skull Bash,Past generation only
Mewtwo,Snatch,Past generation only
Mewtwo,Snore,Past generation only
Mewtwo,Speed Swap,Past generation only
Mewtwo,Strength,Past generation only
Mewtwo,Submission,Past generation only
Mewtwo,Swagger,Past generation only
Mewtwo,Telekinesis,Past generation only
Mewtwo,Teleport,Past generation only
Mewtwo,Torment,Past generation only
Mewtwo,Toxic,Past generation only
Mewtwo,Tri Attack,Past generation only
Mewtwo,Water Gun,Past generation only
Mewtwo,Water Pulse,Past generation only
Mewtwo,Wonder Room,Past generation only
Mewtwo,Zap Cannon,Past generation only
Mew,Pound,level 1
Mew,Reflect Type,level 1
Mew,Amnesia,level 10
Mew,Baton Pass,level 20
Mew,Ancient Power,level 30
Mew,Life Dew,level 40
Mew,Nasty Plot,level 50
Mew,Metronome,level 60
Mew,Imprison,level 70
Mew,Transform,level 80
Mew,Aura Sphere,level 90
Mew,Psychic,level 100
Mew,Acid Spray,TM
Mew,Acrobatics,TM
Mew,Aerial Ace,TM
Mew,Agility,TM
Mew,Air Cutter,TM
Mew,Air Slash,TM
Mew,Amnesia,TM
Mew,Aura Sphere,TM
Mew,Avalanche,TM
Mew,Baton Pass,TM
Mew,Blast Burn,TM
Mew,Blizzard,TM
Mew,Body Press,TM
Mew,Body Slam,TM
Mew,Brave Bird,TM
Mew,Brick Break,TM
Mew,Bug Buzz,TM
Mew,Bulk Up,TM
Mew,Bulldoze,TM
Mew,Bullet Seed,TM
Mew,Calm Mind,TM
Mew,Charge Beam,TM
Mew,Charm,TM
Mew,Chilling Water,TM
Mew,Close Combat,TM
Mew,Confuse Ray,TM
Mew,Crunch,TM
Mew,Dark Pulse,TM
Mew,Dazzling Gleam,TM
Mew,Dig,TM
Mew,Disarming Voice,TM
Mew,Draco Meteor,TM
Mew,Dragon Claw,TM
Mew,Dragon Dance,TM
Mew,Dragon Pulse,TM
Mew,Dragon Tail,TM
Mew,Draining Kiss,TM
Mew,Drain Punch,TM
Mew,Drill Run,TM
Mew,Earth Power,TM
Mew,Earthquake,TM
Mew,Eerie Impulse,TM
Mew,Electric Terrain,TM
Mew,Electro Ball,TM
Mew,Encore,TM
Mew,Endure,TM
Mew,Energy Ball,TM
Mew,Facade,TM
Mew,Fake Tears,TM
Mew,False Swipe,TM
Mew,Fire Blast,TM
Mew,Fire Fang,TM
Mew,Fire Pledge,TM
Mew,Fire Punch,TM
Mew,Fire Spin,TM
Mew,Flame Charge,TM
Mew,Flamethrower,TM
Mew,Flare Blitz,TM
Mew,Flash Cannon,TM
Mew,Fling,TM
Mew,Fly,TM
Mew,Focus Blast,TM
Mew,Foul Play,TM
Mew,Frenzy Plant,TM
Mew,Giga Drain,TM
Mew,Giga Impact,TM
Mew,Grass Knot,TM
Mew,Grass Pledge,TM
Mew,Grassy Terrain,TM
Mew,Gunk Shot,TM
Mew,Heat Wave,TM
Mew,Heavy Slam,TM
Mew,Helping Hand,TM
Mew,Hex,TM
Mew,Hurricane,TM
Mew,Hydro Cannon,TM
Mew,Hydro Pump,TM
Mew,Hyper Beam,TM
Mew,Hyper Voice,TM
Mew,Ice Beam,TM
Mew,Ice Fang,TM
Mew,Ice Punch,TM
Mew,Ice Spinner,TM
Mew,Icy Wind,TM
Mew,Imprison,TM
Mew,Iron Defense,TM
Mew,Iron Head,TM
Mew,Leaf Storm,TM
Mew,Leech Life,TM
Mew,Light Screen,TM
Mew,Liquidation,TM
Mew,Low Kick,TM
Mew,Low Sweep,TM
Mew,Magical Leaf,TM
Mew,Metal Claw,TM
Mew,Metronome,TM
Mew,Misty Terrain,TM
Mew,Mud Shot,TM
Mew,Mud-Slap,TM
Mew,Nasty Plot,TM
Mew,Night Shade,TM
Mew,Outrage,TM
Mew,Overheat,TM
Mew,Phantom Force,TM
Mew,Play Rough,TM
Mew,Poison Jab,TM
Mew,Poison Tail,TM
Mew,Pollen Puff,TM
Mew,Pounce,TM
Mew,Power Gem,TM
Mew,Protect,TM
Mew,Psybeam,TM
Mew,Psychic,TM
Mew,Psychic Fangs,TM
Mew,Psychic Terrain,TM
Mew,Psyshock,TM
Mew,Rain Dance,TM
Mew,Reflect,TM
Mew,Rest,TM
Mew,Reversal,TM
Mew,Rock Blast,TM
Mew,Rock Slide,TM
Mew,Rock Tomb,TM
Mew,Sandstorm,TM
Mew,Scary Face,TM
Mew,Seed Bomb,TM
Mew,Shadow Ball,TM
Mew,Shadow Claw,TM
Mew,Skill Swap,TM
Mew,Sleep Talk,TM
Mew,Sludge Bomb,TM
Mew,Smart Strike,TM
Mew,Snarl,TM
Mew,Snowscape,TM
Mew,Solar Beam,TM
Mew,Spikes,TM
Mew,Stealth Rock,TM
Mew,Steel Beam,TM
Mew,Stomping Tantrum,TM
Mew,Stone Edge,TM
Mew,Stored Power,TM
Mew,Struggle Bug,TM
Mew,Substitute,TM
Mew,Sunny Day,TM
Mew,Surf,TM
Mew,Swift,TM
Mew,Swords Dance,TM
Mew,Tailwind,TM
Mew,Take Down,TM
Mew,Taunt,TM
Mew,Tera Blast,TM
Mew,Thief,TM
Mew,Thunder,TM
Mew,Thunderbolt,TM
Mew,Thunder Fang,TM
Mew,Thunder Punch,TM
Mew,Thunder Wave,TM
Mew,Toxic Spikes,TM
Mew,Trailblaze,TM
Mew,Trick,TM
Mew,Trick Room,TM
Mew,U-turn,TM
Mew,Venoshock,TM
Mew,Volt Switch,TM
Mew,Waterfall,TM
Mew,Water Pledge,TM
Mew,Water Pulse,TM
Mew,Wild Charge,TM
Mew,Will-O-Wisp,TM
Mew,X-Scissor,TM
Mew,Zen Headbutt,TM
Mew,Amnesia,Event
Mew,Ancient Power,Event
Mew,Aura Sphere,Event
Mew,Barrier,Event
Mew,Fake Out,Event
Mew,Feint Attack,Event
Mew,Hypnosis,Event
Mew,Mega Punch,Event
Mew,Metronome,Event
Mew,Night Shade,Event
Mew,Pound,Event
Mew,Psychic,Event
Mew,Return,Event
Mew,Role Play,Event
Mew,Synthesis,Event
Mew,Teleport,Event
Mew,Transform,Event
Mew,Zap Cannon,Event
Mew,After You,Past generation only
Mew,Ally Switch,Past generation only
Mew,Aqua Tail,Past generation only
Mew,Assurance,Past generation only
Mew,Attract,Past generation only
Mew,Aurora Veil,Past generation only
Mew,Beat Up,Past generation only
Mew,Bide,Past generation only
Mew,Bind,Past generation only
Mew,Blaze Kick,Past generation only
Mew,Block,Past generation only
Mew,Bounce,Past generation only
Mew,Breaking Swipe,Past generation only
Mew,Brine,Past generation only
Mew,Brutal Swing,Past generation only
Mew,Bubble Beam,Past generation only
Mew,Bug Bite,Past generation only
Mew,Burning Jealousy,Past generation only
Mew,Captivate,Past generation only
Mew,Coaching,Past generation only
Mew,Confide,Past generation only
Mew,Confusion,Past generation only
Mew,Corrosive Gas,Past generation only
Mew,Cosmic Power,Past generation only
Mew,Counter,Past generation only
Mew,Covet,Past generation only
Mew,Cross Poison,Past generation only
Mew,Curse,Past generation only
Mew,Cut,Past generation only
Mew,Darkest Lariat,Past generation only
Mew,Defense Curl,Past generation only
Mew,Defog,Past generation only
Mew,Detect,Past generation only
Mew,Dive,Past generation only
Mew,Double-Edge,Past generation only
Mew,Double Team,Past generation only
Mew,Dragon Breath,Past generation only
Mew,Dragon Rage,Past generation only
Mew,Dream Eater,Past generation only
Mew,Dual Chop,Past generation only
Mew,Dual Wingbeat,Past generation only
Mew,Dynamic Punch,Past generation only
Mew,Echoed Voice,Past generation only
Mew,Egg Bomb,Past generation only
Mew,Electroweb,Past generation only
Mew,Embargo,Past generation only
Mew,Endeavor,Past generation only
Mew,Expanding Force,Past generation only
Mew,Explosion,Past generation only
Mew,Fissure,Past generation only
Mew,Flash,Past generation only
Mew,Flip Turn,Past generation only
Mew,Focus Energy,Past generation only
Mew,Focus Punch,Past generation only
Mew,Frost Breath,Past generation only
Mew,Frustration,Past generation only
Mew,Fury Cutter,Past generation only
Mew,Future Sight,Past generation only
Mew,Gastro Acid,Past generation only
Mew,Grassy Glide,Past generation only
Mew,Gravity,Past generation only
Mew,Guard Swap,Past generation only
Mew,Gyro Ball,Past generation only
Mew,Hail,Past generation only
Mew,Headbutt,Past generation only
Mew,Heal Bell,Past generation only
Mew,Heat Crash,Past generation only
Mew,Hidden Power,Past generation only
Mew,High Horsepower,Past generation only
Mew,Hone Claws,Past generation only
Mew,Horn Drill,Past generation only
Mew,Icicle Spear,Past generation only
Mew,Incinerate,Past generation only
